Dates,Prices
01-31-26,13357.45384
12-31-25,12036.16623
11-30-25,11261.43558
10-31-25,11258.47064
09-30-25,10044.83747
08-31-25,9139.9265
07-31-25,8943.362159
06-30-25,8906.153042
05-31-25,8676.196282
04-30-25,8510.483825
03-31-25,7969.871468
02-28-25,7799.461084
01-31-25,7208.450637
12-31-24,6987.029133
11-30-24,6991.526647
10-31-24,7031.688914
09-30-24,6681.153987
08-31-24,6451.798467
07-31-24,6543.366787
06-30-24,6558.59821
05-31-24,6616.771163
04-30-24,6552.72138
03-31-24,5986.573991
02-29-24,5686.35463
01-31-24,5714.365358
12-31-23,4979.661409
11-30-23,4872.068855
10-31-23,4690.641624
09-30-23,4692.062202
08-31-23,4686.562621
07-31-23,4718.911711
06-30-23,4704.785509
05-31-23,4829.360157
04-30-23,4831.756277
03-31-23,4637.440693
02-28-23,4516.544221
01-31-23,4572.486102
12-31-22,4365.883404
11-30-22,4154.099429
10-31-22,4038.558123
09-30-22,3980.700526
08-31-22,4138.181296
07-31-22,4071.891597
06-30-22,4223.301018
05-31-22,4212.850045
04-30-22,4341.848525
03-31-22,4374.952113
02-28-22,4101.708994
01-31-22,3983.857038
12-31-21,3974.92685
